product_name,brands,nutrition_grade_fr,countries,sugars_100g,fiber_100g,salt_100g,saturated-fat_100g,energy-kcal_100g
Crousti' Avoine Superfruits,Bjorg,b,France,13.0,10.0,0.1,2.1,418.0
Jemné ovesné vločky,Crownfield,a,Bugarska,0.7,8.5,0.0,1.0,372.0
Muesli croustillant chocolat,Terres & Céréales Bio,c,France,21.0,8.5,0.07,4.6,437.0
Muesli bio croustillant 3 chocolats,Charles Vignon,c,Frankreich,18.0,8.1,0.02,5.5,474.0
Crunchy Muesli Multi Fruit,Crownfield,d,Belgium,24.1,7.6,0.245,7.0,435.0
Muesli Frutas,Hacendado,c,Portugal,15.0,10.0,0.08,3.9,364.444444444444
Muesli Crunchy 4 noix,muesly,c,France,18.0,6.1,0.06,1.8,458.0
"GRANOLA LOW SUGAR, NATURALLY",Bio&Me,a,en:gb,7.9,17.0,0.06,3.7,412.0
Céréales Corn flakes 375g,U,a,France,0.7,3.2,0.13,0.2,388.0
NESTLE NESQUIK Céréales 675g,Nestlé,b,France,22.1,9.3,0.2,0.7,378.0
Funky Veggie - Les PAF,Funky Veggie,a,France,19.0,8.5,0.01,0.8,366.0
Muesli croustillant 7 fruits,T&C Terres & Céréales BIO,d,France,24.0,6.7,0.0,4.4,436.0
"Muesli noisettes, raisins, seigle complet, blé sans sucres ajoutés",T&C Bio,a,France,10.0,12.0,0.02,0.7,369.0
Muesli Crunchy Fruits Rouges,Crownfield,c,Finland,18.4,7.5,0.7,2.6,453.0
Le croustillant chocolat noir & fruits rouges,Bjorg,c,France,14.0,10.0,0.5,3.1,434.0
Country Crisp Fruits & Noix,Jordans,c,France,22.0,6.1,0.05,1.9,443.0
Grainéa,Marque Repère,c,en:fr,13.0,5.5,0.76,0.5,381.0
Corn flakes,Bio Village,c,France,1.9,3.4,0.85,0.2,384.0822179127
Muesli Crunchy Chocolate,Hacendado,d,Portugal,24.0,6.0,0.43,4.5,434.0
Choco crousti,Poulain,c,France,16.0,11.0,0.08,2.6,430.0
Crok'fondant chocolat noisettes,Terres et Céréales Bio,d,France,26.0,7.5,0.81,2.3,417.0
LION BIO Céréales - Boite de 400g,Nestlé,c,Belgium,25.0,8.0,0.48,1.2,409.0
Quaker white oats,Quaker,a,Côte d'Ivoire,1.1,9.0,0.0,1.5,375.0
Lizis high protein granola nuts and seeds,Lizi's,c,Frankreich,12.0,6.8,0.61,3.2,442.0
Muesli fruits secs amandes & noisettes,U BIO,a,France,15.0,11.0,0.03,0.7,353.0
Muesli croustillant - duo de chocolats,Joseph Favrichon,d,Belgium,20.0,8.2,0.02,6.1,476.0
Muesli croustillant,FAVRICHON,c,Belgium,17.0,7.4,0.01,2.1,456.0
Organic Jumbo Oats,Flahavan's,a,Royaume-Uni,1.0,8.25,0.0125,0.5,370.0
Forme & nature 440g,Chabrior,c,France,13.0,4.8,0.77,0.4,385.2
Country crisp miel & noix,Jordans,c,France,21.8,5.5,0.03,2.0,455.0
Special K Granola con avena Dark chocolate,Kellogs,c,Italia,13.0,9.5,0.01,4.0,468.888888888889
Swiss Style Muesli,Alpen,b,Belgium,18.0,8.0,0.261111111111111,0.888888888888889,368.888888888889
PORRIDGE OATS,QUAKER,a,Spain,1.0,9.0,0.0,1.5,375.0
Muesli Croustillant Chocolat Protéines,TERRES & CÉRÉALES BIO,a,France,14.0,9.8,0.02,2.2,419.0
wholegrain wheat bixies,Crownfield,a,Ireland,3.0,9.5,0.000575,0.5,362.0
Muesli simplement bienveillant,J FAVRICHON,a,France,12.0,12.0,0.02,1.5,407.0
Ancient Grains Organic Granola,Kirkland Signature,c,Canada,17.9245283018868,11.3207547169811,0.566037735849057,2.35849056603774,452.830188679245
Bitesize Shredded Wheat,Nestlé,a,United Kingdom,0.7,12.5,0.05,0.5,362.5
Muesli de superfrutas sin azúcares añadidos,Carrefour BIO,a,France,13.0,9.0,0.02,0.7,350.0
Cheerios Aveia,Nestlé,a,Portugal,9.1,10.4,0.71,1.0,383.0
Céréales Extra Pepites Kellogg's Choco Noisettes,Kellogg's,e,France,21.0,5.8,0.63,12.0,497.0
Flocons d'avoine complète BIO 500g,Chabrior,a,France,,,,,
Био овесени ядки,Crownfield,a,Bułgaria,1.2,12.3,0.01,1.0,365.0
Quaker Cruesli Chocolat au lait maxi format,Cruesli,d,France,20.0,8.7,0.51,4.8,457.0
Grainéa Muesli pépites croustillantes chocolat noir,Grainéa,c,France,22.0,8.3,0.13,4.1,446.666666666667
Weetabix Crispy Minis Chocolate Chip,Weetabix,b,United Kingdom,17.0,10.0,0.0005,2.25,385.0
Nutty Granola,Dorset Cereals,b,en:United Kingdom,13.1111111111111,6.22222222222222,5.55555555555556e-05,2.0,442.222222222222
Croustillant fibres,Bjorg,b,fr,15.0,11.0,0.08,1.8,406.0
Muesli Crunchy 0%,Crownfield,a,Portugal,0.9,8.1,2.5e-05,1.7,423.0
Quaker Cruesli 3 chocolats,Cruesli,d,France,18.0,9.1,0.53,4.3,454.0
Weetabix Original,Weetabix,a,France,4.2,10.0,0.28,0.6,362.0
"Céréales Muesli chocolat & amandes, 400g",U,a,Frankrijk,6.8,8.5,0.01,2.8,449.0
Croustillant fruits et noix,Bjorg,b,France,4.2,18.0,0.2,4.6,451.0
Chocolat,J FAVRICHON,c,France,17.0,7.5,0.01,4.8,469.0
Malt Wheats Toasty Crunch,Tesco,a,France,10.0,11.0,0.26875,0.25,370.0
Muesli Crunchy Fruta,Hacendado,d,Spain,27.0,6.0,0.5,5.0,427.0
Muesli 6 frutas,Carrefour BIO,d,France,24.0,6.2,0.02,4.8,444.0
High Protein Crunchy Muesli Roasted Peanuts,Crownfield,b,Belgium,13.4,4.7,0.1575,2.5,455.7839387427
Shredded wheat,Nestle,a,France,0.7,12.2,0.05,0.5,357.777777777778
croustillant chocolat au lait,Bjorg,c,France,14.0,9.2,0.48,4.0,445.0
Croustillant nature ssa,Bjorg,b,fr,1.5,19.0,0.20669,4.6,443.0
Muesli protéiné soja & fruits,Favrichon,a,France,13.0,7.2,0.09,0.7,375.555555555556
Corn flakes,Carrefour,c,Belgium,7.2,2.5,0.8,0.2,383.0
Le Granola Cacahuètes,Funky Veggie,a,France,13.3333333333333,9.33333333333333,0.0666666666666667,2.33333333333333,430.0
Céréales Muesli croustillant chocolat noir paquet 500g,U,c,France,21.0,8.4,0.13,4.4,448.0
Flocons d avoine,javana,a,Morocco,1.3,9.1,0.02,1.42,378.0
Flocons d'avoine,GRAINÉA,a,en:fr,1.1,10.0,0.01,1.3,365.0
Special Flakes Chocolate Noir,Crownfield,c,Belgique,13.7,8.4,0.45,2.9,401.0
Chargement…,Joseph Favrichon,c,France,22.222222222222,7.5,0.02222225,1.5555555290646,424.44444444444
Granola,Fuel,c,France,17.5,6.4,7.5e-05,2.8,442.0
Krounchy proteines chocolat noir,grillon d'or,a,France,14.0,9.5,0.02,2.2,415.0
Extra chocolate y avellanas,Kellogg's,e,Francia,24.0,6.0,0.75,9.5,484.0
Granola fruit strawberry cranberry cherry,Sante,c,France,18.182,7.273,0.5,1.818,448.0
Quaker Cruesli Frutta Secca,Quaker,b,Italy,12.0,10.0,0.01,2.0,462.0
Tchico xxl,,d,en:ma,27.0,5.0,1.4,0.0,427.0
Muesli crisp 5 Fruit,Chabrior,d,Belgium,21.4,7.4,0.17,6.4,426.0
Special K Chocolat au Lait,Kellogg's,d,Belgique,21.0,5.3,0.67,2.5,410.0
NESTLE LION céréales 675g​,Nestlé,c,Belgium,24.5,7.0,0.4,1.1,406.0
muesli croustillant Framboise & chocolat,favrichon,d,France,19.0,11.0,0.01,7.2,465.0
Muesli Croustillant Nature,Favrichon,c,Belgique,19.0,6.9,0.16,2.4,453.0
Country Crisp Chocolat Noir,Jordans,d,France,,,,,
BRAN FLAKES,TESCO,a,France,10.2,15.7,0.59,0.5,353.333333333333
Céréales Muesli croustillant fruits rouges sachet 350g,U,c,France,21.0,7.9,0.15,1.3,385.0
Céréales Trésor Kellogg's Chocolat Lait - 1kg,Kellogg's,e,Belgique,29.0,3.2,0.95,4.8,441.0
Céréales Extra Pepites Kellogg's Chocolat au lait,Kellogg's,e,France,25.0,4.9,0.68,10.0,484.0
Lion cereal with caramel and chocolate,Nestlé,d,Algérie,24.5,7.0,0.48,1.1,405.0
Trix,Nestlé,c,Bulgaria,22.4,5.5,0.06,0.7,391.0
nesquick,Nestlé,d,France,24.0,7.33333333333333,1.08333333333333,0.666666666666667,380.0
